Ranking,Nome,Plataforma,Ano,Gênero,Empresa_Jogos,Vendas_NA,Vendas_EU,Vendas_JP,Outras_Vendas,Vendas_Globais
1,Wii Sports,Nintendo Wii,2006,Esportes,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,NES,1985,Plataforma,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Nintendo Wii,2008,Corrida,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,Nintendo Wii,2009,Esportes,Nintendo,15.75,11.01,3.28,2.96,33.0
5,Pokemon Red/Pokemon Blue,Game Boy,1996,RPG,Nintendo,11.27,8.89,10.22,1.0,31.37
6,Tetris,Game Boy,1989,Quebra-cabeça,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,Nintendo DS,2006,Plataforma,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Wii Play,Nintendo Wii,2006,Diversos,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,Nintendo Wii,2009,Plataforma,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,NES,1984,Tiro,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,Nintendo DS,2005,Simulação,Nintendo,9.07,11.0,1.93,2.75,24.76
12,Mario Kart DS,Nintendo DS,2005,Corrida,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,Game Boy,1999,RPG,Nintendo,9.0,6.18,7.2,0.71,23.1
14,Wii Fit,Nintendo Wii,2007,Esportes,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,Nintendo Wii,2009,Esportes,Nintendo,9.09,8.59,2.53,1.79,22.0
16,Kinect Adventures!,Xbox 360,2010,Diversos,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,PlayStation 3,2013,Ação,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,PlayStation 2,2004,Ação,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,SNES,1990,Plataforma,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,Nintendo DS,2005,Diversos,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,Nintendo DS,2006,RPG,Nintendo,6.42,4.52,6.04,1.37,18.36
